Title,Authors,Publisher,Published Date,Description,ISBN-13
M Train,Patti Smith,Vintage,2015-10-06,"NATIONAL BESTSELLER • From the National Book Award–winning author of Just Kids: a “sublime collection of true stories … and wild imaginings that take us to the very heart of who Patti Smith is” (Vanity Fair), told through the cafés and haunts she has worked in around the world. Patti Smith calls this bestselling work “a roadmap to my life.” M Train begins in the tiny Greenwich Village café where Smith goes every morning for black coffee, ruminates on the world as it is and the world as it was, and writes in her notebook. Through prose that shifts fluidly between dreams and reality, past and present, we travel to Frida Kahlo’s Casa Azul in Mexico; to the fertile moon terrain of Iceland; to a ramshackle seaside bungalow in New York’s Far Rockaway that Smith acquires just before Hurricane Sandy hits; to the West 4th Street subway station, filled with the sounds of the Velvet Underground after the death of Lou Reed; and to the graves of Genet, Plath, Rimbaud, and Mishima. Woven throughout are reflections on the writer’s craft and on artistic creation. Here, too, are singular memories of Smith’s life in Michigan and the irremediable loss of her husband, Fred Sonic Smith. Braiding despair with hope and consolation, illustrated with her signature Polaroids, M Train is a meditation on travel, detective shows, literature, and coffee. It is a powerful, deeply moving book by one of the most remarkable multiplatform artists at work today. Featuring a postscript with five new photos from Patti Smith",9781101875117.0
Lilac Girls,Martha Hall Kelly,Ballantine Books,2016-04-05,"NEW YORK TIMES BESTSELLER • One million copies sold! Inspired by the life of a real World War II heroine, this remarkable debut novel reveals the power of unsung women to change history in their quest for love, freedom, and second chances. “Extremely moving and memorable . . . This impressive debut should appeal strongly to historical fiction readers and to book clubs that adored Kristin Hannah’s The Nightingale and Anthony Doerr’s All the Light We Cannot See.”—Library Journal (starred review) New York socialite Caroline Ferriday has her hands full with her post at the French consulate and a new love on the horizon. But Caroline’s world is forever changed when Hitler’s army invades Poland in September 1939—and then sets its sights on France. An ocean away from Caroline, Kasia Kuzmerick, a Polish teenager, senses her carefree youth disappearing as she is drawn deeper into her role as courier for the underground resistance movement. In a tense atmosphere of watchful eyes and suspecting neighbors, one false move can have dire consequences. For the ambitious young German doctor, Herta Oberheuser, an ad for a government medical position seems her ticket out of a desolate life. Once hired, though, she finds herself trapped in a male-dominated realm of Nazi secrets and power. The lives of these three women are set on a collision course when the unthinkable happens and Kasia is sent to Ravensbrück, the notorious Nazi concentration camp for women. Their stories cross continents—from New York to Paris, Germany, and Poland—as Caroline and Kasia strive to bring justice to those whom history has forgotten. USA Today “New and Noteworthy” Book • LibraryReads Top Ten Pick",9781101883068.0
Lies and Other Acts of Love,Kristy Woodson Harvey,Penguin,2016-04-05,"Southern Book Prize Finalist Romantic Times Top Pick Southern Independent Booksellers Association Okra Pick Maria Shriver’s Top Summer Reads Deep South Magazine’s Best Beach Reads Glitter Guide’s Must Read List SITS Girls Books You Need to Read in 2016 Greenville News Perfect Books for Vacation Pulpwood Queens Official Book Club Pick MomTrends Book Club Pick From the New York Times bestselling author of Under the Southern Sky comes a novel about what it really means to tell the truth... After sixty years of marriage and five daughters, Lynn “Lovey” White knows that all of us, from time to time, need to use our little white lies. Her granddaughter, Annabelle, on the other hand, is as truthful as they come. She always does the right thing—that is, until she dumps her hedge fund manager fiancé and marries a musician she has known for three days. After all, her grandparents, who fell in love at first sight, have shared a lifetime of happiness, even through her grandfather’s declining health. But when Annabelle’s world starts to collapse around her, she discovers that nothing about her picture-perfect family is as it seems. And Lovey has to decide whether one more lie will make or break the ones she loves....",9781101987070.0
Lab Girl,Hope Jahren,Vintage,2016-04-05,"National Bestseller Winner of the National Book Critics Circle Award for Autobiography A New York Times Notable Book Geobiologist Hope Jahren has spent her life studying trees, flowers, seeds, and soil. Lab Girl is her revelatory treatise on plant life—but it is also a celebration of the lifelong curiosity, humility, and passion that drive every scientist. In these pages, Hope takes us back to her Minnesota childhood, where she spent hours in unfettered play in her father’s college laboratory. She tells us how she found a sanctuary in science, learning to perform lab work “with both the heart and the hands.” She introduces us to Bill, her brilliant, eccentric lab manager. And she extends the mantle of scientist to each one of her readers, inviting us to join her in observing and protecting our environment. Warm, luminous, compulsively readable, Lab Girl vividly demonstrates the mountains that we can move when love and work come together. Winner of the American Association for the Advancement of Science/Subaru Science Books & Film Prize for Excellence in Science Books Finalist for the PEN/E.O. Wilson Literary Science Writing Award One of the Best Books of the Year: The Washington Post, TIME.com, NPR, Slate, Entertainment Weekly, Newsday, Minneapolis Star Tribune, Kirkus Reviews",9781101874943.0
Keep Me Posted,Lisa Beazley,Penguin,2017-08-08,"Two sisters share the surprising highs and cringeworthy lows of social media fame, when their most private thoughts become incredibly public in this fresh and funny debut novel. The once-close Sunday sisters have not done a bang-up job of keeping in touch. Cassie is consumed with trying to make her life work as a Manhattan wife and mom to twin toddlers, while her bighearted sister, Sid, lives an expat’s life of leisure in far-off Singapore. So Sid, who shuns social media, challenges Cassie to reconnect through old-fashioned letters. Soon, the letters become a kind of mutual confessional that have real and soul-satisfying effects. They just might have the power to help Cassie save her marriage, and give Sid the strength to get her life back on track. But first, one of Cassie’s infamous lapses in judgment comes back to bite her, and all of the letters wind up in the one place you’d never, ever want to see them: the Internet . . . READERS GUIDE INSIDE",9781101989876.0
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn,Penguin,2016-04-26,"A groundbreaking approach to transforming traumatic legacies passed down in families over generations, by an acclaimed expert in the field Depression. Anxiety. Chronic Pain. Phobias. Obsessive thoughts. The evidence is compelling: the roots of these difficulties may not reside in our immediate life experience or in chemical imbalances in our brains—but in the lives of our parents, grandparents, and even great-grandparents. The latest scientific research, now making headlines, supports what many have long intuited—that traumatic experience can be passed down through generations. It Didn’t Start with You builds on the work of leading experts in post-traumatic stress, including Mount Sinai School of Medicine neuroscientist Rachel Yehuda and psychiatrist Bessel van der Kolk, author of The Body Keeps the Score. Even if the person who suffered the original trauma has died, or the story has been forgotten or silenced, memory and feelings can live on. These emotional legacies are often hidden, encoded in everything from gene expression to everyday language, and they play a far greater role in our emotional and physical health than has ever before been understood. As a pioneer in the field of inherited family trauma, Mark Wolynn has worked with individuals and groups on a therapeutic level for over twenty years. It Didn’t Start with You offers a pragmatic and prescriptive guide to his method, the Core Language Approach. Diagnostic self-inventories provide a way to uncover the fears and anxieties conveyed through everyday words, behaviors, and physical symptoms. Techniques for developing a genogram or extended family tree create a map of experiences going back through the generations. And visualization, active imagination, and direct dialogue create pathways to reconnection, integration, and reclaiming life and health. It Didn’t Start With You is a transformative approach to resolving longstanding difficulties that in many cases, traditional therapy, drugs, or other interventions have not had the capacity to touch.",9781101980378.0
Grey (Fifty Shades #4),E L James,National Geographic Books,2015-06-30,"E L James revisits the world of Fifty Shades with a deeper and darker take on the love story that has enthralled millions of readers around the globe. Look for E L James’ passionate new love story, The Mister, available now. Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the day that Anastasia Steele falls into his office, in a tangle of shapely limbs and tumbling brown hair. He tries to forget her, but instead is swept up in a storm of emotion he cannot comprehend and cannot resist. Unlike any woman he has known before, shy, unworldly Ana seems to see right through him—past the business prodigy and the penthouse lifestyle to Christian’s cold, wounded heart. Will being with Ana dispel the horrors of his childhood that haunt Christian every night? Or will his dark sexual desires, his compulsion to control, and the self-loathing that fills his soul drive this girl away and destroy the fragile hope she offers him? This book is intended for mature audiences.",9780399565335.0
"Exit, Pursued by a Bear",E.K. Johnston,Penguin,2017-05-02,"From #1 New York Times bestselling author E.K. Johnston comes a brave and unforgettable story that will inspire readers to rethink how we treat survivors. Hermione Winters is captain of her cheerleading team, and in tiny Palermo Heights, this doesn’t mean what you think it means. At PHHS, the cheerleaders don't cheer for the sports teams; they are the sports team—the pride and joy of a small town. The team's summer training camp is Hermione's last and marks the beginning of the end of…she’s not sure what. She does know this season could make her a legend. But during a camp party, someone slips something in her drink. And it all goes black. In every class, there's a star cheerleader and a pariah pregnant girl. They're never supposed to be the same person. Hermione struggles to regain the control she's always had and faces a wrenching decision about how to move on. The rape wasn't the beginning of Hermione Winter's story and she's not going to let it be the end. She won’t be anyone’s cautionary tale. ""This story of a cheerleader rising up after a traumatic event will give you Veronica Mars-level feels that will stay with you long after you finish.""—Seventeen Magazine",9781101994603.0
Daredevils,Franklin W. Dixon,Simon and Schuster,2013-08-13,"Stunt work is dangerous enough, but someone is looking to really push stuntman McCauley over the edge. So when Mr. Hardy agrees to look into Terrence’s odd string of accidents, Frank and Joe decide to make it a family affair. Things get really interesting when Joe poses as Terrence to protect him—and when the culprit captures the Hardy boys’ parents to use as bait.",9781481401982.0
Cravings: Recipes for What You Want to Eat,"Chrissy Teigen, Adeena Sussman",Clarkson Potter,2016-02-23,"Maybe she’s on a photo shoot in Zanzibar. Maybe she’s making people laugh on TV. But all Chrissy Teigen really wants to do is talk about dinner. Or breakfast. Lunch gets some love, too. For years, she’s been collecting, cooking, and Instagramming her favorite recipes, and here they are: from breakfast all day to John’s famous fried chicken with spicy honey butter to her mom’s Thai classics. Salty, spicy, saucy, and fun as sin (that’s the food, but that’s Chrissy, too), these dishes are for family, for date night at home, for party time, and for a few life-sucks moments (salads). You’ll learn the importance of chili peppers, the secret to cheesy-cheeseless eggs, and life tips like how to use bacon as a home fragrance, the single best way to wake up in the morning, and how not to overthink men or Brussels sprouts. Because for Chrissy Teigen, cooking, eating, life, and love are one and the same.",9781101903926.0
Born for This: How to Find the Work You Were Meant to Do,Chris Guillebeau,Pan Macmillan,2016-04-21,"The New York Times bestselling author of The $100 Startup, Chris Guillebeau shows us how to enjoy greater career success and personal fulfilment by finding the work we were born to do, whether within a traditional company or business, or by striking out on our own. Born For This helps you create your own self-styled career with a practical, step-by-step guide to finding work that feels so right it doesn't even seem like work. Learn how to: · Launch a side job that turns a passion into a profitable business. · Win the career lottery by finding a dream position within a traditional organization. · Become a DIY rock star by fashioning an entirely new profession around your varied interests. · OR hack an existing humdrum job into work you will love. Guillebeau offers an actionable method and framework for turning our passions into paychecks.",9781447297529.0
Arena,Holly Jennings,Penguin,2016-04-05,"A fast-paced and gripping near-future science fiction debut about the gritty world of competitive gaming... Every week, Kali Ling fights to the death on national TV. She’s died hundreds of times. And it never gets easier... The RAGE tournaments—the Virtual Gaming League’s elite competition where the best gamers in the world compete in a no-holds-barred fight to the digital death. Every bloody kill is broadcast to millions. Every player is a modern gladiator—leading a life of ultimate fame, responsible only for entertaining the masses. And though their weapons and armor are digital, the pain is real. Chosen to be the first female captain in RAGE tournament history, Kali Ling is at the top of the world—until one of her teammates overdoses. Now, she must confront the truth about the tournament. Because it is much more than a game—and even in the real world, not everything is as it seems. The VGL hides dark secrets. And the only way to change the rules is to fight from the inside...",9780698406933.0
Adultery,Carol Faulkner,University of Pennsylvania Press,2019-09-20,"In her 1855 fictionalized autobiography, Mary Gove Nichols told the story of her emancipation from her first unhappy marriage, during which her husband controlled her body, her labor, and her daughter. Rather than the more familiar metaphor of prostitution, Nichols used adultery to define loveless marriages as a betrayal of the self, a consequence far more serious than the violation of a legal contract. Nichols was not alone. In Unfaithful, Carol Faulkner places this view of adultery at the center of nineteenth-century efforts to redefine marriage as a voluntary relationship in which love alone determined fidelity. After the Revolution, Americans understood adultery as a sin against God and a crime against the people. A betrayal of marriage vows, adultery was a cause for divorce in most states as well as a basis for civil suits. Faulkner depicts an array of nineteenth-century social reformers who challenged the restrictive legal institution of marriage, redefining adultery as a matter of individual choice and love. She traces the beginning of this redefinition of adultery to the evangelical ferment of the 1830s and 1840s, when perfectionists like John Humphrey Noyes, founder of the Oneida Community, concluded that marriage obstructed the individual's relationship to God. In the 1840s and 1850s, spiritualist, feminist, and free love critics of marriage fueled a growing debate over adultery and marriage by emphasizing true love and consent. After the Civil War, activists turned the act of adultery into a form of civil disobedience, culminating in Victoria Woodhull's publicly charging the Reverend Henry Ward Beecher with marital infidelity. Unfaithful explores how nineteenth-century reformers mobilized both the metaphor and the act of adultery to redefine marriage between 1830 and 1880 and the ways in which their criticisms of the legal institution contributed to a larger transformation of marital and gender relations that continues to this day.",9780812296792.0
A Mother's Reckoning: Living in the Aftermath of Tragedy,Sue Klebold,Crown Publishing Group (NY),2016,"""The mother of one of the two shooters at Columbine High School draws on personal recollections, journal entries and video recordings to piece together what led to her son's unpredicted breakdown and share insights into how other families might recognize warning signs,""--NoveList.",9781101902752.0
A Gentleman's Position (Society of Gentlemen #3),KJ Charles,Loveswept,2016-04-05,"Power, privilege, and the rigid rules of class leave two hearts yearning for connection in the sizzling new Society of Gentlemen novel from K. J. Charles. Among his eccentric though strictly principled group of friends, Lord Richard Vane is the confidant on whom everyone depends for advice, moral rectitude, and discreet assistance. Yet when Richard has a problem, he turns to his valet, a fixer of unparalleled genius—and the object of Richard’s deepest desires. If there is one rule a gentleman must follow, it is never to dally with servants. But when David is close enough to touch, the rules of class collide with the basest sort of animal instinct: overpowering lust. For David Cyprian, burglary and blackmail are as much in a day’s work as bootblacking—anything for the man he’s devoted to. But the one thing he wants for himself is the one thing Richard refuses to give: his heart. With the tension between them growing to be unbearable, David’s seemingly incorruptible master has left him no choice. Putting his finely honed skills of seduction and manipulation to good use, he will convince Richard to forget all about his well-meaning objections and give in to sweet, sinful temptation. And look for the enticing Society of Gentlemen series by KJ Charles: THE RUIN OF GABRIEL ASHLEIGH | A FASHIONABLE INDULGENCE | A SEDITIOUS AFFAIR | A GENTLEMAN’S POSITION Don’t miss any of the captivating Sins of the Cities novels: AN UNSEEN ATTRACTION | AN UNNATURAL VICE | AN UNSUITABLE HEIR Praise for A Gentleman’s Position “Highly recommend this one—a great, angst-filled romance.”—Smexy Books “I can’t recommend A Gentleman’s Position and the rest of the Society books enough!”—Just Love “I have absolutely loved this series and I found this to be a very satisfying conclusion. . . . I love the way things ended up for Richard and Cyprian and I was thrilled to get their story.”—Joyfully Jay “Brilliant writing and storytelling! Highly recommend!”—Gay Book Reviews “This book is swoon material—grab it!”—Red Adept Reviews “What I enjoyed most about this book was the author’s slow and deliberate reveal of the story from both parties’ perspectives.”—The Oddness of Moving Things Includes a special message from the editor, as well as an excerpt from another Loveswept title.",9781101886076.0
11/22/63,Stephen King,N/A,2012,President John F. Kennedy is dead.,9781594135590.0
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Dan Harris,Harper Collins,2014-03-11,"#1 New York Times Bestseller REVISED WITH NEW MATIERAL Winner of the 2014 Living Now Book Award for Inspirational Memoir ""An enormously smart, clear-eyed, brave-hearted, and quite personal look at the benefits of meditation."" —Elizabeth Gilbert Nightline anchor Dan Harrisembarks on an unexpected, hilarious, and deeply skeptical odyssey through the strange worlds of spirituality and self-help, and discovers a way to get happier that is truly achievable. After having a nationally televised panic attack, Dan Harris knew he had to make some changes. A lifelong nonbeliever, he found himself on a bizarre adventure involving a disgraced pastor, a mysterious self-help guru, and a gaggle of brain scientists. Eventually, Harris realized that the source of his problems was the very thing he always thought was his greatest asset: the incessant, insatiable voice in his head, which had propelled him through the ranks of a hypercompetitive business, but had also led him to make the profoundly stupid decisions that provoked his on-air freak-out. Finally, Harris stumbled upon an effective way to rein in that voice, something he always assumed to be either impossible or useless: meditation, a tool that research suggests can do everything from lower your blood pressure to essentially rewire your brain. 10% Happier takes readers on a ride from the outer reaches of neuroscience to the inner sanctum of network news to the bizarre fringes of America’s spiritual scene, and leaves them with a takeaway that could actually change their lives.",9780062265449.0
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,JJ Smith,Simon and Schuster,2014-07-01,"The New York Times bestselling 10-Day Green Smoothie Cleanse will jump-start your weight loss, increase your energy level, clear your mind, and improve your overall health as you lose ten to fifteen pounds in just ten days. Made up of supernutrients from leafy greens and fruits, green smoothies are filling and healthy and you will enjoy drinking them. Your body will also thank you for drinking them as your health and energy improve to levels you never thought possible. It is an experience that could change your life if you stick with it! This book provides a shopping list, recipes, and detailed instructions for the 10-day cleanse, along with suggestions for getting the best results. It also offers advice on how to continue to lose weight and maintain good health afterwards. Are you ready to look slimmer, healthier, and sexier than you have in years? Then get ready to begin the 10-Day Green Smoothie Cleanse! If you successfully complete the 10-Day Green Smoothie Cleanse, you will… • Lose 10–15 pounds in 10 days • Get rid of stubborn body fat, including belly fat • Drop pounds and inches fast, without grueling workouts • Learn to live a healthier lifestyle of detoxing and healthy eating • Naturally crave healthy foods so you never have to diet again • Receive over 100 recipes for various health conditions and goals",9781501100116.0
Without Shame,Charles Moser,Greenery Press (CA),1999,"Too often, people with alternative sexualities -- the gay or lesbian or bisexual, the non-monogamous or kinky -- have trouble finding competent, understanding care for their mental and physical health.Now, Dr. Charles Moser -- one of the nation's leading authorities on sexuality-related medicine -- has created a comprehensive guidebook for anyone who's ever struggled with the sentence, Doctor, there's something I have to tell you...Dr. Moser explains how and when to come out to your health care provider, how to protect your confidentially, how to handle it if a health care provider isn't understanding about your alternative sexuality, how to deal with sex-related emergencies, and more. He also includes detailed information on dealing with other professionals such as therapists, attorneys, and accountants.Vital information for anyone whose sexuality, is non-traditional -- and for any health care provider who wants to provide the best possible care for patients of all descriptions.",9781890159122.0
Watchmen,"Dave Gibbons, Chip Kidd, Mike Essl",Titan Books (UK),2008,"Enjoy the ultimate companion to a comics masterpiece, as award-winning artist Gibbons gives his own account of the genesis of ""Watchmen"" and opens his vast personal archives to reveal never-published pages, original character designs, page thumbnails, sketches, and more.",N/A
Unlimited Intuition Now,Catherine Carrigan,Now Series Books,2016-01-26,"Read Unlimited Intuition Now to develop your own psychic abilities so that you can receive guidance from your soul. How you will benefit: Pray to open your soul guidance Learn how to read the energy in your chakras with a pendulum Tune in to read your own body Discover how to read the body of another person Discern how much life force is in your food Focus to tell if food is really good for your body Practice how to muscle test yourself Raise your vibration to listen to your angels Get your ego out of the way so you can listen to divine guidance Stay connected with loved ones when you are apart Open your psychic centers of clairaudience, claircognizance, clairsentience and clairvoyance Avoid other people's ego projections to see what's really going on Protect your energy so you feel safe and grounded at all times and in all places Stay out of trouble in dangerous situations Understand how your different psychic gifts actually work Deepen your connection to God and feel supported on all levels",9780989450614.0
Underlying Notes,Michael I. Levi,Radcliffe Publishing,2005,"A study aid for junior hospital psychiatrists, general practitioners and medical students, psychiatric nurses, psychiatric social workers, psychiatric occupational therapists and clinical psychologists.",9781857757163.0
The Shack,Wm. Paul Young,Windblown Media,2017-09-26,"After his daughter's murder, a grieving father confronts God with desperate questions -- and finds unexpected answers -- in this riveting and deeply moving #1 NYT bestseller. When Mackenzie Allen Phillips's youngest daughter Missy is abducted during a family vacation, he remains hopeful that she'll return home. But then, he discovers evidence that she may have been brutally murdered in an abandoned shack deep in the Oregon wilderness. Four years later, in this midst of his great sadness, Mack receives a suspicious note that's supposedly from God, inviting him back to that shack for a weekend. Against his better judgment, he arrives on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change his life forever.",9781546033295.0
The New Brand You: Your New Image Makes the Sale for You,Julie Broad,N/A,2016-05,"You want people to recognize you, like you, and trust you, so they buy from you. You may have already branded yourself with this in mind but perhaps you're not getting the desired results. Many people think that branding is about cool logos, fancy websites and social media popularity. But this line of thought causes potential successes to fail. So what does work? In The New Brand You, Julie Broad, MBA, bestselling author, popular speaker, and award winning entrepreneur, shares the secrets of creating a trusted brand. You'll learn what is critical in reinventing your personal brand, and why you may never have to tweet, pin or post to do it. Did you know that ...' Your brand is first of all about the feelings, thoughts and experiences of your customers and clients. There are at least 42 common communication mistakes that dilute your message, and only two things you have to do to have a brand with big impact. Online, you are who Google says you are ... The New Brand You is your detailed guidebook to successfully recreating your brand and attracting your ideal clients.""",9780991906024.0
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Mollie Katzen,N/A,1977,A compilation of recipes from the Moosewood Restaurant with vegetarian and ethnic emphasis.,9780913668696.0
The Flowers Lied,Yvonne Ventresca,Simon and Schuster,2016-10-04,"Her father died before she was born, but Ella Benton knows they have a supernatural connection. Since her mother discourages these beliefs, Ella keeps her cemetery visits secret. But she may not be the only one with secrets. Ella’s mother might be lying about how Dad died sixteen years ago. Newfound evidence points to his death in a psychiatric hospital, not as a result of a tragic car accident as her mother always claimed. After a lifetime of just the two of them, Mom suddenly feels like a stranger. When a handprint much like the one Ella left on her father’s tombstone mysteriously appears on the bathroom mirror, at first she wonders if Dad is warning her of danger as he did once before. If it’s not a warning, could her new too-good-to-be-true boyfriend be responsible for the strange occurrences? Or maybe it’s the grieving building superintendent whose dead daughter strongly resembles Ella? As the unexplained events become more frequent and more sinister, Ella becomes terrified about who—or what—might harm her. Soon the evidence points to someone else entirely: Ella herself. What if, like her father, she’s suffering from a breakdown? In this second novel from award-winning author Yvonne Ventresca, Ella desperately needs to find answers, no matter how disturbing the truth might be. Sky Pony Press, with our Good Books, Racehorse and Arcade imprints, is proud to publish a broad range of books for young readers—picture books for small children, chapter books, books for middle grade readers, and novels for young adults. Our list includes bestsellers for children who love to play Minecraft; stories told with LEGO bricks; books that teach lessons about tolerance, patience, and the environment, and much more. While not every title we publish becomes a New York Times bestseller or a national bestseller, we are committed to books on subjects that are sometimes overlooked and to authors whose work might not otherwise find a home.",9781510709973.0
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,Vintage,2007-12-18,"NATIONAL BESTSELLER • From one of the world’s leading physicists and author of the Pulitzer Prize finalist The Elegant Universe, comes “an astonishing ride” through the universe (The New York Times) that makes us look at reality in a completely different way. Space and time form the very fabric of the cosmos. Yet they remain among the most mysterious of concepts. Is space an entity? Why does time have a direction? Could the universe exist without space and time? Can we travel to the past? Greene has set himself a daunting task: to explain non-intuitive, mathematical concepts like String Theory, the Heisenberg Uncertainty Principle, and Inflationary Cosmology with analogies drawn from common experience. From Newton’s unchanging realm in which space and time are absolute, to Einstein’s fluid conception of spacetime, to quantum mechanics’ entangled arena where vastly distant objects can instantaneously coordinate their behavior, Greene takes us all, regardless of our scientific backgrounds, on an irresistible and revelatory journey to the new layers of reality that modern physics has discovered lying just beneath the surface of our everyday world.",9780307428530.0
The Book of Mormon,Jeff Whitty,Hal Leonard Publishing Corporation,2011-12,"(Ingram Books). 2004 Tony Award winner for Best Musical, Best Original Score and Best Book of a Musical! Playbill.com describes Avenue Q, a decidedly adult puppet/human show, as a meeting of Sesame Street and South Park . Our deluxe songbook features all 20 songs in standard piano/vocal format (melody in the piano part), more than 20 fabulous full-color photos from the production, and a bio of the writing team of Robert Lopez and Jeff Marx, who've scored big with their first Broadway show! Tunes include: The Avenue Q Theme * Fantasies Come True * I Wish I Could Go Back to College * I'm Not Wearing Underwear Today * If You Were Gay * The Internet Is for Porn * It Sucks to Be Me * Mix Tape * The Money Song * Purpose * There Is Life Outside Your Apartment * What Do You Do with a B.A. in English * and more. PARENTAL ADVISORY: EXPLICIT LYRICS. The Libretto includes the complete book and lyrics from the musical with additional color photos from the Broadway performance.",9781458417596.0
The Art and Science of Low Carbohydrate Living,"Jeff S. Volek, Phd Stephen D. Phinney MD, Rd Jeff S. Volek Phd, Stephen D. Phinney",Beyond Obesity LLC,2011,"A definitive resource for low carbohydrate living. Trading up from sugars and starches to a cornucopia of nutrient-rich, satisfying, and healthy foods.",9780983490708.0
The Alien Club,Trel W. Sidoruk,N/A,2016-01-19,"When everything is your first, you're an alien. The feelings, sensations, decisions and ramifications of your actions are uncharted territory. An alien landscape that stretches from your front door to your first love can be more bizarre, beautiful and unforgiving than any other planet in the Universe. With no handbook and nowhere to turn, you're forced to blaze a path to greatness you're not even sure is your destiny. A truly mesmerizing journey created by a series of tragic and fanciful events that are thrust into motion by seemingly mundane issues that grip and alter the trajectory of an innocent youth. The Alien Club follows the path forged by a ten-year-old boy, blindly clawing his way through the confusing, frightening and utterly fascinating life afforded him via a magical neighborhood situated in suburbia USA, during the summer of 1979.",9780997151312.0
Suzie Snowflake: One beautiful flake (a self-esteem story),Crystal Rose,Lulu.com,2015-05-14,Follow Suzie on a magical journey of discovering her true self worth within.,9780986872716.0
Nap-a-Roo,Kristy Kurjan,"KPO Creative, LLC",2014-08,A kangaroo gets ready for naptime along with other animals at the zoo.,9780986075001.0
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Hillary DePiano,HillaryDePiano.com,N/A,"You’ve just completed a novel during the National Novel Writing Month challenge! Or maybe you completed part of one. Or signed up with really good intentions and then only wrote a couple of words. Either way, you’re staring at 30 days worth of words and wondering… What now? How exactly do you start a revision and discover your editing process? How do you know if you’re ready to hire an editor? How do you motivate yourself when faced with draft dread or editing blocks? How can you translate what you’ve accomplished so far into a professional writing career? From tips for finding beta readers, exploration of traditional vs. self-publishing, and strategies to motivate yourself to keep writing regularly post-NaNoWriMo, NaNo What Now? is a quick and easy-to-read unofficial guide to the next steps. In a sea of general writing advice, NaNo ML and multi-year veteran Hillary DePiano offers practical and specific solutions tailored to the unique nature of the NaNoWriMo challenge and holds your hand through the rest of the journey. It’s time to finish what you started and make your book the best it can be.",9780982400395.0
Modern Day Fables,George Ade,"Copp, Clark Company",1901,N/A,N/A
If I Gave You God's Phone Number....: Searching for Spirituality in America,Mare Cromwell,N/A,2002,"This timely book chronicles one woman's spiritual journey, through interviews about God and reflections on each conversation. A broad spectrum of individuals are found here, including Catholics, Jews, a Cherokee Shaman, a Death Row inmate, an Afghani Sufi Mystic, and Several children. Each responds to the question, ""If I gave you God's phone number, what would you do with it?"" Part memoir, part interview, the book is a fascinating glimpse of the ever-evolving spiritual landscape and life in America. It is also an engaging testimony of Mare Cromwell's search for spiritual answers through a very unique approach to seeking truth. It profoundly changed her life. It may well change yours. Book jacket.",9780971703209.0
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Annabelle Stewart Altwater,N/A,1971-01-01,N/A,9780805915662.0
Dress Your Family in Corduroy and Denim,David Sedaris,Hachette UK,2010-09-16,"'No one has a turn of phrase like David Sedaris. This series of essays about his life and family is a joy from start to finish' Adam Kay David Sedaris plays in the snow with his sisters. He goes on vacation with his family. He gets a job selling drinks. He attends his brother's wedding. He mops his sister's floor. He gives directions to a lost traveller. He eats a hamburger. He has his blood sugar tested. It all sounds so normal, doesn't it? In his new book David Sedaris lifts the corner of ordinary life, revealing the absurdity teeming below its surface. His world is alive with obscure desires and hidden motives - a world where forgiveness is automatic and an argument can be the highest form of love. Dress Your Family in Corduroy and Denim finds one of the wittiest and most original writers at work today at the peak of his form.",9780748125944.0
Don't Forget Steven,P.D. Workman,pd workman,2014-09-25,"Things never have been easy for Steven. He accepts that, and just makes the best of things. He might not have parents or a happy home. Or enough to eat most days. But at least he has a couple of loyal friends who stand by him and help out when they can. At least he has school, someplace he can go to escape the abuse. But just when he thought things couldn’t get much worse, they did. Steven is accused of murder. But that isn’t the worst part. The really bad part is not even knowing if he did it. ⭐️⭐️⭐️⭐️⭐️ I enjoy novels about adolescents and I am certainly glad I read this one. It grabbed my attention immediately and got me involved… I am happy to award this novel 5 stars. Award-winning and USA Today bestselling author P.D. Workman brings you a gritty tale of suspense that will keep you on the edge of your seat and rooting for Steven right to the last page.",9781926500010.0
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,"Andrew Leatherbarrow, Denise Bottmann",L&PM Editores,2019-09-03,"Mais de três décadas se passaram desde o acidente nuclear de Chernobyl, mas devido ao regime de silêncio imposto pela então União Soviética, muito do que ocasionou o desastre permanece incerto e não sabido. Este fascinante livro revela como a usina nuclear construída para gerar energia limpa se tornou palco do pior acidente nuclear do planeta, e estabelece os fatores e erros que levaram à catástrofe que ainda hoje tem muito a nos ensinar.",9788525438898.0
